1;Nick Gertje;13;Left Leg;1
1;Nick Gertje;14;Right Leg;1
1;Nick Gertje;97;Left Arm;1
1;Nick Gertje;98;Right Arm;1
2;Dennis Dotterweich;47;Left Leg;1
2;Dennis Dotterweich;16;Right Leg;1
3;Niklas Waelzlein;49;Left Leg;1
3;Niklas Waelzlein;88;Right Leg;1
4;Wili Sommer;19;Left Leg;1
4;Wili Sommer;52;Right Leg;1
5;Philipp Harlass;53;Left Leg;1
5;Philipp Harlass;54;Right Leg;1
6;Roman Hartleb;23;Left Leg;1
6;Roman Hartleb;24;Right Leg;1
7;Erik Engelhardt;57;Left Leg;1
7;Erik Engelhardt;58;Right Leg;1
8;Sandro Schneider;59;Left Leg;1
8;Sandro Schneider;28;Right Leg;1
11;Leon Krapf;61;Left Leg;2
11;Leon Krapf;62;Right Leg;2
11;Leon Krapf;99;Left Arm;2
11;Leon Krapf;100;Right Arm;2
12;Kevin Baer;63;Left Leg;2
12;Kevin Baer;64;Right Leg;2
13;Luca Ziegler;65;Left Leg;2
13;Luca Ziegler;66;Right Leg;2
14;Ben Mueller;67;Left Leg;2
14;Ben Mueller;68;Right Leg;2
15;Vale Reitstetter;69;Left Leg;2
15;Vale Reitstetter;38;Right Leg;2
16;Christopher Lee;71;Left Leg;2
16;Christopher Lee;40;Right Leg;2
17;Leon Heinze;73;Left Leg;2
17;Leon Heinze;74;Right Leg;2
18;Leo Langhans;75;Left Leg;2
18;Leo Langhans;44;Right Leg;2
21;Referee;105;Left Leg;
21;Referee;106;Right Leg;
100;Ball;4;;
100;Ball;8;;
100;Ball;10;;
100;Ball;12;;
